,n,nb_acc,nb_perp,glm_acc,glm_perp,glmx_acc,glmx_perp,svm_acc,svm_perp
1,16,0.5944,1.999376,0.5944,56.267160,0.5944,56.267160,0.5944,2.133582
2,32,0.7192, 1.947379,0.7192,12.767880,0.7628,13.594683,0.7628,1.837934
3,64,0.6545,1.811557,0.6545,1.821252,0.7292,4.126144,0.7457,1.802339
4,128,0.7192,1.822270,0.7192,1.848282,0.7628,1.648649,0.7192,1.765323
5,256,0.7628,1.787027,0.7628,1.789071,0.7628,1.652015,0.7628,1.721582
6,512,0.7628,1.785760,0.7628,1.782407,0.7628,1.644323,0.7628,1.711981
7,1024,0.7628,1.780866,0.7192,1.778531,0.7628,1.645392,0.7628,1.722159
8,2048,0.7628,1.787190,0.7628,1.778429,0.7628,1.640586,0.7628,1.720094
9,4096,0.7628,1.779162,0.7628,1.776387,0.7628,1.639444,0.7628,1.720698
10,8192,0.7628,1.781329,0.7628,1.776287,0.7628,1.639207,0.7628,1.720242
